item.copper_pickaxe 銅のツルハシ
item.copper_sword 銅の剣
item.copper_axe 銅の斧
item.copper_ingot 銅インゴット
item.iron_ingot 鉄インゴット
item.health_potion 回復ポーション
item.empty 空
item.stone 石
item.unknown 不明
item.dirt 土
item.grass 草
item.planks オークの板材
item.water 水（古いバージョン）
item.sand 砂
item.lamp_white 白色のランプ
item.lamp_blue 青色のランプ
item.lava 溶岩（古いバージョン）
item.log オークの樹幹
item.leaves 葉
item.grass_tall 背の高い草
item.workbench 作業台
item.workbench.desc より複雑なアイテムを作れる
item.worldBorder World Border
item.worldBorder.desc If you were able to obtain this you are either cheating or my game is broken ):
item.copper_ore 銅鉱石
item.copper_ore.desc インゴットに製錬することができる
item.iron_ore 鉄鉱石
item.iron_ore.desc インゴットに製錬することができる
item.coal_ore 石炭
item.furnace かまど
item.glowing_mushroom 発光キノコ
item.torch たいまつ
item.crate 木箱
item.stone_brick 石のレンガ
item.glass ガラス
item.stone_brick_small 小さい石のレンガ
item.clay 粘土
item.clay_brick_small 粘土のレンガ
item.copper_plated_stone 銅メッキされた石
item.iron_plated_stone 鉄メッキされた石
item.flint_pickaxe 火打石のツルハシ
item.flint_sword 火打石の剣
item.flint_axe 火打石の斧
item.core コア
item.flint 火打石
item.iron_pickaxe 鉄のツルハシ
item.iron_sword 鉄の剣
item.iron_axe 鉄の斧
item.red_mushroom 赤キノコ
item.allumerium_ore アルメリウム鉱石
item.chest 収納箱
item.silver_pickaxe 銀のツルハシ
item.silver_sword 銀の剣
item.silver_axe 銀の斧
item.gold_pickaxe 金のツルハシ
item.gold_sword 金の剣
item.gold_axe 金の斧
item.silver_ingot 銀インゴット
item.gold_ingot 金インゴット
item.sandstone 砂岩
item.snow 雪
item.ice 氷
item.silver_ore 銀鉱石
item.gold_ore 金鉱石
item.silver_plated_stone 銀メッキされた石
item.gold_plated_stone 金メッキされた石
item.sandstone_brick 砂岩レンガ
item.snow_brick 雪レンガ
item.stone_block 石ブロック
item.lamp_red 赤色のランプ
item.lamp_green 緑色のランプ
item.flint_hammer ハンマー
item.flint_hammer.desc ブロックの形を変えることができる
item.bagel ベーグル
item.everything_bagel なんでもベーグル
item.everything_bagel.desc すべてを持つベーグル。
item.blueberry ブルーベリー
item.birch_log シラカバの樹幹
item.maple_log カエデの樹幹
item.maple_leaves カエデの葉
item.blueberry_bush ブルーベリーの低木
item.door ドア

item.copper_helmet 銅の兜
item.iron_helmet 鉄の兜
item.silver_helmet 銀の兜
item.gold_helmet 金の兜

item.copper_chestplate 銅の鎧
item.iron_chestplate 鉄の鎧
item.silver_chestplate 銀の鎧
item.gold_chestplate 金の鎧
item.copper_greaves 銅のすね当て
item.iron_greaves 鉄のすね当て
item.silver_greaves 銀のすね当て
item.gold_greaves 金のすね当て
item.dynamite ダイナマイト
item.dynamite.desc 悪ふざけに最適
item.daffodil スイセン
item.rose バラ
item.dandelion タンポポ
item.cobblestone 丸石
item.potion_station 錬金台
item.cooking_station 調理台
item.ladder はしご
item.dynamite_block ダイナマイトブロック
item.dynamite_block.desc 爆発したい！？
item.cactus_sword サボテンの剣
item.wood_bow 木の弓
item.slingshot パチンコ
item.arrow 矢
item.rock 小石
item.shuriken 手裏剣
item.dart ダーツ
item.dart.desc 風船を割るのに最適
item.wand ワンド
item.wand.desc コマンドを使う際に２つの座標を選択するためのツール
item.frozen_stone 凍った石
item.grass_tall_snowy 雪原の草
item.grass_tall_dry 乾いた草
item.dead_bush 枯れ木
item.desert_bush 砂漠の低木
item.agave リュウゼツラン
item.cactus_flower サボテンフラワー
item.cactus_small 小さいサボテン
item.cactus サボテン
item.maple_sapling カエデの苗木
item.oak_sapling オークの苗木
item.birch_sapling シラカバの苗木
item.frost_algae 氷結藻
item.slime_algae 粘着藻
item.pine_leaves エゾマツの葉
item.forest_pickaxe 繁茂のツルハシ
item.forest_pickaxe.desc 直下掘りしてみてね :)
item.entwiner 接続の杖
item.entwiner.desc 魔法の力で入力装置を出力装置と接続させる
item.heart_beet ハートビート
item.heart_beet.desc 最大HPを１ハート分増加させる
item.iron_chest 鉄の宝箱
item.gold_chest 金の宝箱
item.dungeon_bricks 森林のダンジョンレンガ
item.dungeon_grate 森林のダンジョン格子
item.dungeon_lamp ダンジョンランプ
item.dungeon_lamp_blue 青色のダンジョンランプ
item.dungeon_pressure_plate ダンジョン感圧版
item.dungeon_door ダンジョンのドア
item.pressure_plate 感圧版
item.button ボタン
item.splitter スプリッター
item.splitter.desc 接続信号を隣接するブロックに送る
item.pulser パルサー
item.pulser.desc 接続信号を延長する
item.dart_trap ダーツトラップ
item.dart_trap.desc 信号を受け取った時に、毒矢を撃つ

item.thorn_blade イバラブレード
item.regen_charm 再生の石
item.regen_charm.desc ４秒あたりに体力を１回復する
item.jet_boots ジェットブーツ
item.jet_boots.desc 空中でジャンプすると、１秒分の燃料で飛ぶことができる
item.spring_boots バネブーツ
item.spring_boots.desc ジャンプの高さを１ブロック分増やす
item.paraglider パラグライダー
item.paraglider.desc 空中でスペースを長押しすると、低速落下する
item.jumping_bean ビヨヨンビーン
item.jumping_bean.desc 近接ダメージを20%上昇させる代わりに...
item.sneakers スニーカー
item.sneakers.desc スニークを可能にする
item.gecko_gloves ヤモリグローブ
item.gecko_gloves.desc 壁を這いあがることができる
item.speed_boots 疾走ブーツ
item.speed_boots.desc 走行を可能にする
item.oak_log オークの丸太
item.pine_log エゾマツの丸太
item.pine_sapling エゾマツの苗木
item.birch_planks シラカバの板材
item.maple_planks カエデの板材
item.pine_planks エゾマツの板材
item.framed_glass 縁ありガラス
item.red_brick 赤色レンガ
item.lamp_cyan 青緑色のランプ
item.lamp_magenta 赤紫色のランプ
item.lamp_yellow 黄色のランプ
item.copper_bars 銅格子
item.iron_bars 鉄格子
item.silver_bars 銀格子
item.gold_bars 金格子
item.concrete コンクリート
item.concrete.desc 移動速度1.2倍
item.asphalt アスファルト
item.asphalt.desc 移動速度1.2倍
item.thick_birch_log 太いシラカバの丸太
item.thick_maple_log 太いカエデの丸太
item.thick_oak_log 太いオークの丸太
item.thick_pine_log 太いエゾマツの丸太
item.trampoline トランポリン
item.trampoline.desc かなり高くジャンプできる
item.launch_pad Launch Pad
item.launch_pad.desc プレイヤーを空へと飛ばす
item.cloth 布
item.cloth_light_grey 灰色の布
item.cloth_dark_grey ダークグレー色の布
item.cloth_black 黒色の布
item.cloth_red 赤色の布
item.cloth_orange 橙色の布
item.cloth_yellow 黄色の布
item.cloth_lime 黄緑色の布
item.cloth_green 緑色の布
item.cloth_cyan 青緑色の布
item.cloth_blue 青色の布
item.cloth_dark_blue 紺色の布
item.cloth_purple 紫色の布
item.cloth_pink 桃色の布
item.cloth_light_pink 桜色の布
item.cloth_brown 茶色の布

item.weak_health_potion 回復ポーション（小）
item.weak_health_potion.desc 10HP回復する
item.poison_potion 毒のポーション
item.poison_potion.desc 飲むことは推奨しません！
item.speed_potion 疾走のポーション
item.regen_potion 再生のポーション
item.regen_potion.desc ５分間少しずつ体力を回復する
item.armour_potion 鉄壁のポーション
item.armour_potion.desc ５分間防御力を４上げる
item.respawn_potion 帰還のポーション
item.respawn_potion.desc スポーン地点にテレポートする
item.flight_potion 飛翔のポーション
item.flight_potion.desc １分間飛翔を可能にする
item.cure_cube 解毒キューブ
item.cure_cube.desc 毒効果への耐性
item.cotton_plant ワタ
item.cotton_plant.desc 植えて収穫できる
item.decoration_station 装飾台
item.decoration_station.desc 装飾ブロックを作成できる
item.dungeon_spawner ダンジョンスポナー
item.copper_bow 銅の弓
item.iron_bow 鉄の弓
item.silver_bow 銀の弓
item.gold_bow 金の弓
item.copper_crossbow 銅のクロスボウ
item.iron_crossbow 鉄のクロスボウ
item.silver_crossbow 銀のクロスボウ
item.gold_crossbow 金のクロスボウ
item.reinforced_arrow 強化された矢
item.flaming_arrow 火矢
item.explosive_arrow 爆矢
item.root_arrow アロールート
item.rock_melon ロックメロン
item.watermelon スイカ
item.brick 投げレンガ
item.brick.desc 嫌いなものに投げるのに最適
item.throwable_torch 粘着たいまつ
item.throwable_torch.desc 投擲が可能
item.squeaky_toy 音のなるおもちゃ
item.whoopee_cushion オナラクッション
item.air_horn 気笛
item.glow_worms グロウワーム
item.heart_beet_block ハートビート（ブロック）
item.sandstone_brick_small 小さい砂岩レンガ
item.toy_crate おもちゃの木箱
item.sprinkler スプリンクラー
item.soil 乾いた土壌
item.wet_soil 濡れた土壌
item.arrow_root_seed アロールートの種
item.bomb_berry_seed 爆弾ベリーの種
item.rock_melon_seed ロックメロンの種
item.watermelon_seed スイカの種
item.frying_pan フライパン
item.boomerang ブーメラン
item.throwable_glow_bean グロウビーン
item.watering_can じょうろ
item.watering_can.desc いつでも満タン。どうやって？魔法。
item.hoe クワ
item.tomato トマト
item.bread パン
item.wheat 小麦
item.bomb_berry 爆弾ベリー
item.bomb_berry.desc 警告：食べないでください。
item.ominous_deer_skull 不吉なシカの頭蓋骨
item.oak_leaves オークの葉
item.placed_glow_bean グロウビーン（ブロック）
item.weapon_crate 武器の木箱
item.forest_chest 森林の宝箱
item.tomato_seed トマトの種
item.wheat_seed 小麦の種
item.glow_bean_seed グロウビーンの種
item.weeds 雑草
item.spider_web クモの巣
item.pizza_cutter ピザカッター
item.crowbar クロウバー
item.melon_slicer スイカスライサー
item.forest_axe 繁茂した斧
item.snowball_cannon 雪玉の銃
item.snowball 雪玉
item.forest_ingot 繁茂したインゴット
item.eightball ８ボール
item.dice サイコロ
item.basketball バスケットボール
item.bucket バケツ
item.water_bucket バケツ（水）
item.lava_bucket バケツ（溶岩）
item.sponge 吸収スポンジ
item.lava_sponge 溶岩スポンジ
item.forest_blessing 森林の恵み
item.forest_blessing.desc ２秒分のスタミナを追加する
item.minecart トロッコ
item.minecart.desc レールに設置して乗る
item.underground_bush 繁茂の茂み
item.undergrowth_rock 繁茂した岩
item.forest_flower 森林の花
item.lava_lily 溶岩のユリ
item.bubble_glass バブル草
item.undergrowth_crate 繁茂した木箱
item.spike_trap トゲトラップ
item.dynamite_trap ダイナマイトトラップ
item.basket_hoop バスケフープ
item.rail レール
item.painting_child 絵画
item.painting_melon 絵画（スイカ）
item.painting_melon.desc 静物画？それとも、自撮り？
item.painting_triangle 絵画（三角形）
item.painting_triangle.desc 生命の基本的な土台。
item.painting_stars 絵画（星空）
item.painting_pipes 絵画（土管）
item.painting_cloud 絵画（ピンクの雲）
item.painting_waves 絵画（波打ち）
item.painting_biome 絵画（自然）
item.painting_deer 絵画（鹿）
item.spawn_pointer スポーンポインター
item.spawn_pointer.desc 右クリックでスポーンポイントを設定
item.forest_helmet 繁茂の兜
item.forest_chestplate 繁茂の鎧
item.forest_greaves 繁茂のすね当て
item.skull_fragment 頭蓋骨の欠片

item.cobalt_pickaxe コバルトのツルハシ
item.cobalt_sword コバルトの剣
item.arctic_blade 氷結の剣
item.big_sword デカいソード
item.baguette バゲット
item.frosted_boomerang 氷結のブーメラン
item.cobalt_spear コバルトの槍
item.cobalt_axe コバルトの斧
item.cobalt_helmet コバルトの兜
item.cobalt_chestplate コバルトの鎧
item.cobalt_greaves コバルトのすね当て
item.cobalt_bow コバルトの弓
item.cobalt_crossbow コバルトのクロスボウ
item.snowball_splitter 雪玉スプリッター
item.flamethrower 火炎放射器
item.fart_gun オナラガン
item.cobalt_ingot コバルトインゴット
item.copper_coin 銅のトークン
item.silver_coin 銀のトークン
item.gold_coin 金のトークン
item.allumerium_coin アルメリウムのトークン
item.mining_potion 採掘のポーション
item.mint ミント
item.red_meat 赤い肉
item.steak ステーキ
item.red_mushroom_item 赤キノコ
item.glowing_mushroom_item 発光キノコ
item.magnet 磁石
item.magnet.desc 4ブロック先までのアイテムを引き寄せる
item.scuba_helmet スキューバヘルム
